Deutsch_grundform,spanisch_grundform
kennzahlen,indicadores clave
kern,núcleo
Kette,cadena
Ketzerismus,herejía
Kind,niño
Kinderrechte,derechos del niño
Kindheitssoziologie,sociología de la infancia
Kindlichkeit,ingenuidad
Kino,cine
Kirche,iglesia
Kirchensoziologie,sociología eclesiástica
kissen,almohada
Kitsch,cursilería
Klage,queja
Klammer,paréntesis
Klang,sonido
Klarheit,claridad
Klasse,clase
Klassenkampf,lucha de clases
Klassenwechselbereitschaftskrisesoziologie,sociología de crisis de disposición al cambio de clase
Klassifizierung,clasificación
Kleid,vestido
Klima,clima
Klimagerechtigkeit,justicia climática
Klimaneutralität,neutralidad climática
Klimarecht,derecho climático
Klimaschutz,protección climática
Klimaverantwortung,responsabilidad climática
Klimawandel,cambio climático
Klinik,clínica
Kluft,abismo
Klugheit,inteligencia
Knappheit,escasez
Knie,rodilla
Kniff,truco
knoten,nudo
Koch,cocinero
Koexistenz,coexistencia
Koffer,maleta
Kognitionswissenschaft,ciencia cognitiva
Kohle,carbón
Kohortenperspektive,perspectiva de cohorte
Kohärenz,coherencia
Kohärenzprinzip,principio de coherencia
Kollaborationsfähigkeitsentfaltung,desarrollo de la capacidad colaborativa
Kollege,colega
Kollektivierung,colectivización
Kollektivismus,colectivismo
Kolonialismus,colonialismo
Kolonie,colonia
Komfort,comodidad
Kommentar,comentario
Kommerzialisierung,comercialización
Kommission,comisión
Kommunalismus,comunalismo
Kommunikationsauftrag,mandato comunicativo
Kommunikationsebene,nivel de comunicación
Kommunikationsfähigkeitsentfaltung,desarrollo de la capacidad comunicativa
Kommunikationsgestaltungsbereitschaftskrisesoziologie,sociología de crisis de disposición a la configuración comunicativa
Kommunikationsperspektive,perspectiva comunicativa
Kommunikationssoziologie,sociología comunicativa
Kommunikationstheorie,teoría de la comunicación
Kommunikationsverantwortung,responsabilidad comunicativa
Kompatibilität,compatibilidad
Kompetenz,competencia
Kompetenzdifferenzierung,diferenciación de competencias
Kompetenzentwicklung,desarrollo de competencias
Kompetenzentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo competencial
Kompetenzentwicklungsoziologie,sociología del desarrollo de competencias
Kompetenzerweiterung,ampliación de competencias
Kompetenzkrisesoziologie,sociología de crisis de competencias
Kompetenzperspektive,perspectiva de competencias
Kompetenzsoziologie,sociología de competencias
Kompetenzzuwachsbereitschaftskrisesoziologie,sociología de crisis de disposición al crecimiento competencial
Kompetitivität,competitividad
Komplex,complejo
Komplexität,complejidad
komplexitätsdenken,pensamiento de complejidad
Komplexitätsreduktion,reducción de complejidad
Komplexitätstheorie,teoría de la complejidad
komponenten,componentes
Kompromiss,compromiso
Kompromissbereitschaft,disposición al compromiso
Konditionierung,condicionamiento
Konferenz,conferencia
Konfessionswechselbereitschaftskrisesoziologie,sociología de crisis de disposición al cambio confesional
Konflikt,conflicto
Konfliktperspektive,perspectiva conflictual
Konfliktsoziologie,sociología del conflicto
Konformität,conformidad
Konformitätsdruck,presión de conformidad
Kongress,congreso
Konjunktur,coyuntura
Konkurrenz,competencia
Konkurrenzfähigkeit,competitividad
Konnektivitätsoziologie,sociología de la conectividad
Konsens,consenso
Konsequenz,consecuencia
Konservativismus,conservadurismo
Konservierung,conservación
Konsistenz,consistencia
Konsistenzprinzip,principio de consistencia
Konsolidierung,consolidación
Konsolidierungsauftrag,mandato consolidador
Konstruktivismus,constructivismo
Konsum,consumo
Konsumentenschutz,protección del consumidor
Konsumsoziologie,sociología del consumo
Konsumverzicht,renuncia al consumo
Kontakt,contacto
Kontext,contexto
Kontextualisierung,contextualización
Kontinuität,continuidad
Kontinuitätszuwachsbereitschaftskrisesoziologie,sociología de crisis de disposición al crecimiento continuo
Konto,cuenta
Kontrollauftrag,mandato de control
Kontrolle,control
Kontrollsoziologie,sociología del control
Konventionalismus,convencionalismo
Konzept,concepto
Konzeptentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo conceptual
konzern,consorcio
Kooperationsfähigkeitsentfaltung,desarrollo de la capacidad cooperativa
Kooperationsgestaltungsbereitschaftskrisesoziologie,sociología de crisis de disposición a la configuración cooperativa
Kooperationsprinzip,principio de cooperación
Koordinierung,coordinación
Kopf,cabeza
Korrektur,corrección
Korrespondenz,correspondencia
Kosmologie,cosmología
Kosmopolitismus,cosmopolitismo
kosten,costos
Kostenverteilung,distribución de costos
Kraft,fuerza
Kraftlosigkeitssoziologie,sociología de la falta de fuerzas
Krankheit,enfermedad
Krankheitssoziologie,sociología de la enfermedad
Kreativität,creatividad
Kreativitätsentfaltung,desarrollo de la creatividad
Kreativitätsentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo creativo
Kreativitätsoziologie,sociología de la creatividad
Kredit,crédito
Kreis,círculo
Kreislaufwirtschaft,economía circular
Kreolkultursoziologie,sociología de cultura criolla
Kreuz,cruz
Krieg,guerra
Kriegssoziologie,sociología de la guerra
Kriminalsoziologie,sociología criminal
Krise,crisis
Krisenbewältigung,gestión de crisis
Krisenfestigkeit,resistencia a crisis
Krisenperspektive,perspectiva de crisis
Krisensoziologie,sociología de crisis
kriterien,criterios
Kritik,crítica
Kritikauftrag,mandato crítico
Kritikfähigkeit,capacidad crítica
Kritizismus,criticismo
Krone,corona
Kräftigung,fortalecimiento
Kultivierung,cultivo
Kultur,cultura
Kulturanthropologie,antropología cultural
Kulturauftrag,mandato cultural
Kulturentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo cultural
Kulturperspektive,perspectiva cultural
Kultursoziologie,sociología cultural
Kulturtheorie,teoría cultural
Kulturwandel,cambio cultural
Kunde,cliente
Kundenauftrag,mandato del cliente
Kundenbetreuung,cuidado del cliente
Kundendienst,atención al cliente
Kundenorientierung,orientación al cliente
Kundenservice,servicio al cliente
Kunst,arte
Kunstfertigkeit,destreza
Kunstsoziologie,sociología artística
Kurs,curso
Kurve,curva
Kurzlebigkeit,corta duración
Kybernetik,cibernética
König,rey
können,capacidad
Körper,cuerpo
Küche,cocina
Küste,costa
Labor,laboratorio
Laboratorium,laboratorio
lachen,risa
laden,tienda
Lage,situación
Lager,almacén
Laienverständnis,comprensión lega
Land,país
Landschaft,paisaje
Landschaftsschutz,protección paisajística
Landsoziologie,sociología rural
Landwirtschaft,agricultura
Langeweilesoziologie,sociología del aburrimiento
Langlebigkeit,longevidad
langzeitdenken,pensamiento a largo plazo
Last,carga
Lastenverteilung,distribución de cargas
Laufbahn,carrera
Laufbahnentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo de trayectoria
Laune,humor
Lauterkeit,pureza
leben,vida
Lebensbejahung,afirmación de la vida
Lebenserfahrung,experiencia vital
Lebensform,forma de vida
Lebensformwechselbereitschaftskrisesoziologie,sociología de crisis de disposición al cambio de la forma de vida
Lebensfreude,alegría de vivir
Lebensführung,conducción de la vida
Lebensgestaltung,configuración vital
Lebensgestaltungsbereitschaftskrisesoziologie,sociología de crisis de disposición a la configuración vital
Lebenskraft,fuerza vital
Lebenskrisososiologie,sociología de la crisis vital
Lebenskunst,arte de vivir
Lebenslaufperspektive,perspectiva del curso vital
Lebenslaufsoziologie,sociología del curso vital
Lebenslehre,enseñanza vital
Lebensmittel,alimentos
lebensphasen,fases vitales
Lebensqualität,calidad de vida
Lebensreise,viaje de la vida
Lebenssinn,sentido de vida
Lebensstandard,nivel de vida
Lebensstil,estilo de vida
Lebensstilwandel,cambio de estilo de vida
Lebensstilwechselbereitschaftskrisesoziologie,sociología de crisis de disposición al cambio del estilo de vida
Lebenswandlungsbereitschaftskrisesoziologie,sociología de crisis de disposición al cambio vital
Lebensweg,camino vital
Lebensweise,modo de vida
Lebensweisewechselbereitschaftskrisesoziologie,sociología de crisis de disposición al cambio del modo de vida
Lebensweisheit,sabiduría vital
Lebensweltanalyse,análisis del mundo vital
Lebensweltperspektive,perspectiva del mundo vital
Lebenszyklus,ciclo de vida
Lebensübergangsoziologie,sociología de transiciones vitales
Leder,cuero
Leerheit,vacío
Legalität,legalidad
Legitimationsgrundlage,base de legitimación
Legitimationskrise,crisis de legitimación
Legitimationssoziologie,sociología de la legitimación
Lehrauftrag,mandato docente
Lehre,enseñanza
Lehrer,maestro
Leib,cuerpo
Leichnam,cadáver
Leichtfertigkeit,frivolidad
Leid,dolor
Leidenschaft,pasión
Leidenschaftsoziologie,sociología de la pasión
Leistung,rendimiento
Leistungsauftrag,mandato de rendimiento
Leistungsfähigkeit,rendimiento
Leistungsgerechtigkeit,justicia meritocrática
Leistungssoziologie,sociología del rendimiento
Leitbild,imagen guía
Leiter,líder
leitlinien,pautas
Leitung,dirección
Lektüre,lectura
Lernbegier,afán de aprender
Lernbereitschaftskrisesoziologie,sociología de crisis de disposición al aprendizaje
Lernfähigkeit,capacidad de aprendizaje
Lernorientierung,orientación al aprendizaje
Lernperspektive,perspectiva de aprendizaje
Lernprinzip,principio de aprendizaje
Lernsoziologie,sociología del aprendizaje
Lerntheorie,teoría del aprendizaje
Liberalisierung,liberalización
Liberalismus,liberalismo
Licht,luz
Liebe,amor
Liebesentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo del amor
Liebesfähigkeitsentfaltung,desarrollo de la capacidad de amar
Liebhaberei,afición
Lied,canción
Lieferant,proveedor
Lieferung,entrega
Liga,liga
Linguistik,lingüística
Linie,línea
Link,enlace
Liquidität,liquidez
Liste,lista
Literarismus,literarismo
Literatur,literatura
Literatursoziologie,sociología literaria
Literaturwissenschaft,estudios literarios
Lob,elogio
Lobbyingsoziologie,sociología del cabildeo
Lobbyismus,cabildeo
Loch,agujero
Logik,lógica
Logiksoziologie,sociología de la lógica
Lohn,salario
Lokal,local
Los,suerte
Loyalität,lealtad
Luft,aire
Luftreinhaltung,mantenimiento del aire limpio
Lust,deseo
Luxus,lujo
Lächerlichkeit,ridiculez
Länge,longitud
Lärm,ruido
Lärmschutz,protección acústica
Lässigkeit,despreocupación
Lösung,solución
Lösungsorientierung,orientación a soluciones
Lüge,mentira
Machcdifferenzierung,diferenciación del poder
Machiavelismus,maquiavelismo
Macht,poder
Machtausübung,ejercicio del poder
Machthunger,ansia de poder
Machtperspektive,perspectiva del poder
Machtsoziologie,sociología del poder
Machtverteilung,distribución del poder
Magazin,revista
Magie,magia
Magnetismus,magnetismo
Mahl,comida
Mahnung,advertencia
Mai,mayo
Mainstream,corriente principal
Majorität,mayoría
Majoritätsprinzip,principio de mayoría
Mal,vez
Managementsoziologie,sociología de la gestión
Manager,gerente
Mangel,falta
Mann,hombre
Mannschaft,equipo
Mantel,abrigo
Marginalisierung,marginalización
Marginalisierungsprozeß,proceso de marginalización
Marginalität,marginalidad
Mark,marco
Marke,marca
Markt,mercado
Marktorientierung,orientación al mercado
Maschine,máquina
Masse,masa
Massenkultursoziologie,sociología de cultura de masas
Massenpsychologie,psicología de masas
Massensoziologie,sociología de masas
Material,material
Materialismus,materialismo
Materie,materia
Mathematik,matemáticas
Mauer,muro
Maus,ratón
maximen,máximas
Maximierung,maximización
Maximum,máximo
Maß,medida
Maßstäbe,criterios
Mechanisierung,mecanización
Mechanismus,mecanismo
Medialisierung,mediatización
medien,medios
Mediensoziologie,sociología de los medios
Medienverantwortung,responsabilidad mediática
Medizin,medicina
Medizinsoziologie,sociología de la medicina
Meer,mar
Megalomania,megalomanía
Meinung,opinión
Meinungsänderungsbereitschaftskrisesoziologie,sociología de crisis de disposición al cambio de opinión
Meister,maestro
Meisterschaft,maestría
Melancholie,melancolía
Meldung,noticia
Memorandum,memorándum
Menge,cantidad
Mensch,persona
Menschenfreundlichkeit,filantropía
Menschenrechte,derechos humanos
Menschenrechtsperspektive,perspectiva de derechos humanos
Menschenrechtsverantwortung,responsabilidad de derechos humanos
Menschheit,humanidad
Menschheitsentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo de la humanidad
Menschheitsverantwortung,responsabilidad de la humanidad
Menschlichkeit,humanidad
Mentalität,mentalidad
Mentorauftrag,mandato de mentoría
Mentoringsoziologie,sociología de la mentoría
Meritokratie,meritocracia
Merkantilismus,mercantilismo
Merkmal,característica
Messe,feria
messgrößen,magnitudes de medición
Messung,medición
Metabolismus,metabolismo
Metall,metal
Metamorphose,metamorfosis
Metaphysik,metafísica
Meter,metro
Methode,método
Methodengestaltungsbereitschaftskrisesoziologie,sociología de crisis de disposición a la configuración metodológica
Methodenreflexion,reflexión metodológica
Methodensoziologie,sociología metodológica
Methodenvielfalt,diversidad metodológica
Methodologie,metodología
Miene,expresión
Miete,alquiler
Migrationsbereitschaftskrisesoziologie,sociología de crisis de disposición migratoria
Migrationskultursoziologie,sociología de cultura migratoria
Migrationssoziologie,sociología de la migración
Mikrobiologie,microbiología
Milch,leche
Milieuwechselbereitschaftskrisesoziologie,sociología de crisis de disposición al cambio de medio
Militarismus,militarismo
Militär,militar
Million,millón
Minderheit,minoría
Minderheitenrechte,derechos de las minorías
Minimalismus,minimalismo
Minimierung,minimización
Minimum,mínimo
Minister,ministro
Minorität,minoría
Minoritätenschutz,protección de minorías
Minute,minuto
Mischung,mezcla
Misserfolgssoziologie,sociología del fracaso
Mission,misión
Missionarismus,misionerismo
misstrauen,desconfianza
Misstrauenssoziologie,sociología de la desconfianza
Missverständnis,malentendido
Mitarbeit,colaboración
Mitarbeiter,empleado
Mitgefühl,compasión
Mitgefühlentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo compasivo
Mitgefühlsentfaltung,desarrollo de la compasión
Mitgestaltungsfähigkeitsentfaltung,desarrollo de la capacidad de coconfiguración
Mitglied,miembro
Mitleid,compasión
Mittag,mediodía
Mitte,centro
Mitteilung,comunicación
Mittel,medio
Mittelpunkt,centro
Mobilisierung,movilización
Mobilitätsbereitschaftskrisesoziologie,sociología de crisis de disposición a la movilidad
Mobilitätsgerechtigkeit,justicia de movilidad
Modalität,modalidad
Mode,moda
Modell,modelo
Modernisierungsauftrag,mandato modernizador
Modernisierungsschub,impulso modernizador
Modernisierungssoziologie,sociología de la modernización
Modernisierungstheorie,teoría de la modernización
Modernismus,modernismo
Modesoziologie,sociología de la moda
Modularität,modularidad
Molekularbiologie,biología molecular
Monarchie,monarquía
Monarchismus,monarquismo
Monat,mes
Mond,luna
Monopolisierung,monopolización
Monotonie,monotonía
Moral,moral
Moralauftrag,mandato moral
Moralismus,moralismo
Moralität,moralidad
Mord,asesinato
morgen,mañana
Motiv,motivo
Motivationssoziologie,sociología motivacional
Motivationstheorie,teoría de la motivación
Motor,motor
Multidisziplinarität,multidisciplinariedad
Multikulturalismus,multiculturalismo
Multikulturellesoziologie,sociología multicultural
Multilateralismus,multilateralismo
Multiplizierung,multiplicación
Mund,boca
Museum,museo
Musik,música
Musiksoziologie,sociología de la música
Muster,patrón
Mut,valor
Mutter,madre
Mysterium,misterio
Mystik,mística
Mystizismus,misticismo
Mythologie,mitología
Mythologisierung,mitologización
Mythos,mito
mädchen,niña
Männersoziologie,sociología masculina
Müdigkeit,cansancio
Müdigkeitssoziologie,sociología de la fatiga
Mühe,esfuerzo
Nachahmung,imitación
Nachbar,vecino
Nachbarschaft,vecindario
Nachbarschaftshilfe,ayuda vecinal
Nachbarschaftshilfesoziologie,sociología de la ayuda vecinal
Nachbarschaftssoziologie,sociología vecinal
Nachdenklichkeit,pensatividad
Nachfrage,demanda
Nachgiebigkeit,condescendencia
Nachhaltigkeit,sostenibilidad
Nachhaltigkeitsorientierung,orientación sostenible
Nachhaltigkeitsperspektive,perspectiva de sostenibilidad
Nachhaltigkeitsrecht,derecho de sostenibilidad
Nachhaltigkeitssiegel,sello de sostenibilidad
Nachhaltigkeitsverantwortung,responsabilidad de sostenibilidad
Nachricht,mensaje
Nachsorgesoziologie,sociología del seguimiento
Nacht,noche
Nachteil,desventaja
Nahrung,alimento
Naivität,ingenuidad
Name,nombre
Nationalisierung,nacionalización
Nationalismus,nacionalismo
Natur,naturaleza
Naturalismus,naturalismo
Naturphilosophie,filosofía natural
Naturschutz,conservación natural
Navigationssystem,sistema de navegación
Nazismus,nazismo
Nebel,niebla
Nebenfolgensoziologie,sociología de efectos secundarios
Neigung,tendencia
Neoliberalismus,neoliberalismo
Nerv,nervio
Nervosität,nerviosismo
Nervositätsoziologie,sociología del nerviosismo
Nest,nido
Netz,red
Netzwerke,redes
Netzwerkfähigkeitsentfaltung,desarrollo de la capacidad de trabajo en red
Netzwerksoziologie,sociología de redes
Neugier,curiosidad
Neuheit,novedad
Neuorientierungsbereitschaftskrisesoziologie,sociología de crisis de disposición a la reorientación
Neutralisierung,neutralización
Neutralität,neutralidad
Niedergang,decadencia
Nihilismus,nihilismo
Niveau,nivel
Noblesse,nobleza
Nominalismus,nominalismo
Normalisierung,normalización
Normalität,normalidad
normen,normas
Normenwandelbereitschaftskrisesoziologie,sociología de crisis de disposición al cambio normativo
Normorientierung,orientación normativa
Nostalgie,nostalgia
Note,nota
Notfall,emergencia
Nothilfesoziologie,sociología de la ayuda de emergencia
Notwendigkeit,necesidad
Nuklearphysik,física nuclear
Null,cero
Nummer,número
nutzen,beneficio
Nutzenverteilung,distribución de beneficios
Nutzerorientierung,orientación al usuario
Nähe,cercanía
Näheentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo de la cercanía
Objekt,objeto
Objektivierung,objetivización
Objektivitätsanspruch,pretensión de objetividad
Obsession,obsesión
Obst,fruta
Offenheit,franqueza
Ohr,oreja
Okkultismus,ocultismo
Oligarchie,oligarquía
Omnipotenz,omnipotencia
Opfer,víctima
Opportunismus,oportunismo
Oppositionsauftrag,mandato opositor
Optimierung,optimización
Optimierungsauftrag,mandato de optimización
Optimierungsprinzip,principio de optimización
Optimismus,optimismo
Optimismussoziologie,sociología del optimismo
Orchestrierung,orquestación
Ordnung,orden
Ordnungsauftrag,mandato de orden
Ordnungssinn,sentido del orden
Organ,órgano
Organisationsentwicklungsoziologie,sociología del desarrollo organizacional
Organisationsgestaltungsbereitschaftskrisesoziologie,sociología de crisis de disposición a la configuración organizacional
Organisationssoziologie,sociología organizacional
Organisationstheorie,teoría organizacional
Orientierung,orientación
Orientierungslosigkeit,desorientación
Orientierungslosigkeitssoziologie,sociología de la desorientación
Originalität,originalidad
Ort,lugar
Orthodoxie,ortodoxia
Ortswechselbereitschaftskrisesoziologie,sociología de crisis de disposición al cambio de lugar
osten,este
Paar,pareja
Paket,paquete
Panik,pánico
Paniksoziologie,sociología del pánico
Pantheismus,panteísmo
Papier,papel
Paradigma,paradigma
Paradigmensoziologie,sociología paradigmática
Paradigmenwechsel,cambio de paradigma
Paradigmenwechselbereitschaftskrisesoziologie,sociología de crisis de disposición al cambio paradigmático
Paragraph,párrafo
Parallelismus,paralelismo
Parallelität,paralelismo
Parameter,parámetro
Paranoia,paranoia
Paraphrase,paráfrasis
Park,parque
Partei,partido
Parteisoziologie,sociología partidaria
Parteiwechselbereitschaftskrisesoziologie,sociología de crisis de disposición al cambio partidario
Partizipationsauftrag,mandato participativo
Partizipationsdefizit,déficit de participación
Partizipationsdemokratie,democracia participativa
Partizipationsfähigkeitsentfaltung,desarrollo de la capacidad participativa
Partizipationsperspektive,perspectiva participativa
Partizipationsprinzip,principio de participación
Partizipationssoziologie,sociología participativa
Partner,socio
Partnerschaft,asociación
partnerschaften,asociaciones
Partnerschaftsfähigkeitsentfaltung,desarrollo de la capacidad de asociación
Partnerschaftssoziologie,sociología de pareja
Passage,pasaje
Patent,patente
Paternalismus,paternalismo
Pathologie,patología
Patient,paciente
Patriarchat,patriarcado
Patriotismus,patriotismo
Pause,pausa
Pausensoziologie,sociología de las pausas
Pazifismus,pacifismo
Perfektionismus,perfeccionismo
Performance,desempeño
Periodisierung,periodización
Periodizität,periodicidad
Permanenz,permanencia
Persistenz,persistencia
Person,persona
Personal,personal
Personalentwicklungsoziologie,sociología del desarrollo personal
Personalität,personalidad
Personsoziologie,sociología personal
Perspektive,perspectiva
Perspektivenerweiterung,ampliación de perspectiva
Persönlichkeitsentwicklung,desarrollo de personalidad
Persönlichkeitsentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo personal
Persönlichkeitsentwicklungsoziologie,sociología del desarrollo personal
Persönlichkeitsgestaltungsbereitschaftskrisesoziologie,sociología de crisis de disposición a la configuración personal
Persönlichkeitslosigkeitssoziologie,sociología de la despersonalización
Persönlichkeitstheorie,teoría de la personalidad
Perversion,perversión
Pessimismus,pesimismo
Pessimismussoziologie,sociología del pesimismo
Pfad,sendero
Pfarrer,sacerdote
Pflanze,planta
Pflege,cuidado
Pflegeauftrag,mandato asistencial
Pflegesoziologie,sociología del cuidado
Pflicht,deber
Pflichtbewusstsein,conciencia del deber
Phantasie,fantasía
Phase,fase
phasen,fases
Philanthropie,filantropía
Philanthropiesoziologie,sociología filantrópica
Philosophie,filosofía
Phobiesoziologie,sociología de las fobias
Photosynthese,fotosíntesis
Physik,física
Physiologie,fisiología
Phänomenologie,fenomenología
Pietismus,pietismo
Pilot,piloto
Pioniergeist,espíritu pionero
Plagiatorismus,plagio
Plan,plan
Planet,planeta
Planung,planificación
Planungssoziologie,sociología de la planificación
Platte,disco
Plattformsoziologie,sociología de plataformas
Platz,lugar
Pluralisierung,pluralización
Pluralisierungsprozeß,proceso de pluralización
Pluralismus,pluralismo
Polarisierung,polarización
Politik,política
Politiksoziologie,sociología política
Politisierung,politización
Polizei,policía
Pool,piscina
Popularität,popularidad
Popularkultursoziologie,sociología de cultura popular
Positionswechselbereitschaftskrisesoziologie,sociología de crisis de disposición al cambio de posición
Positivismus,positivismo
Post,correo
Postmodernismus,posmodernismo
Postwachstumsgesellschaft,sociedad pos-crecimiento
Potential,potencial
Potentialentfaltung,desarrollo del potencial
Potentialentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo potencial
Potentialorientierung,orientación al potencial
Potentialperspektive,perspectiva de potencial
Potenzial,potencial
Potenzierung,potenciación
Pragmatismus,pragmatismo
Praxis,práctica
Praxisorientierung,orientación práctica
Preis,precio
Presse,prensa
Prestige,prestigio
Prinzip,principio
prinzipien,principios
Priorität,prioridad
privat,privado
Privatisierung,privatización
Problem,problema
Problematik,problemática
Problemlösungsfähigkeitskrisesoziologie,sociología de crisis de capacidad resolutiva
Problemlösungssoziologie,sociología de resolución de problemas
Problemlösungsstrategie,estrategia de resolución de problemas
Problemorientierung,orientación a problemas
Problemstellung,planteamiento del problema
Produkt,producto
Produktivität,productividad
Produktivitätsauftrag,mandato de productividad
Produktivitätsoziologie,sociología de la productividad
Professionalisierung,profesionalización
Professionalisierungsbereitschaftskrisesoziologie,sociología de crisis de disposición a la profesionalización
Professionalisierungssoziologie,sociología de la profesionalización
Professionalität,profesionalidad
Professionsdifferenzierung,diferenciación profesional
Professionsentwicklung,desarrollo profesional
Professionsentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo profesional
Professionsforschung,investigación profesional
Profit,ganancia
Profitauftrag,mandato de lucro
Prognosesoziologie,sociología pronóstica
Programm,programa
Programmatik,programática
Progression,progresión
Projekt,proyecto
Projektierung,planificación de proyectos
Propaganda,propaganda
Proportionalität,proporcionalidad
Prosa,prosa
Protest,protesta
Protestantismus,protestantismo
Protestsoziologie,sociología de la protesta
Protokoll,protocolo
Prototyp,prototipo
Prozedur,procedimiento
Prozess,proceso
Prozessgestaltungsbereitschaftskrisesoziologie,sociología de crisis de disposición a la configuración procesual
Prozessorientierung,orientación a procesos
Prädisposition,predisposición
Präferenz,preferencia
Prämisse,premisa
Präventionsauftrag,mandato preventivo
Präventionsorientierung,orientación preventiva
Präventionsrecht,derecho preventivo
Präventionssoziologie,sociología de la prevención
Präzision,precisión
Prüfung,examen
Pseudonym,seudónimo
Pseudowissenschaft,pseudociencia
Psychoanalyse,psicoanálisis
Psychologie,psicología
Pubertätskrisesoziologie,sociología de la crisis puberal
Publikum,público
Punkt,punto
Puritanismus,puritanismo
Pädagogik,pedagogía
Qualifikationsbereitschaftskrisesoziologie,sociología de crisis de disposición a la cualificación
Qualifikationsentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo cualificativo
Qualifizierung,cualificación
Qualifizierungssoziologie,sociología de la cualificación
Qualität,calidad
Qualitätsauftrag,mandato de calidad
Qualitätsmanagement,gestión de calidad
Qualitätsorientierung,orientación a la calidad
Qualitätsprinzip,principio de calidad
Quantifizierung,cuantificación
Radikalisierung,radicalización
Quantität,cantidad
Quelle,fuente
querdenken,pensamiento lateral
Quote,cuota
Radikalismus,radicalismo
Radio,radio
rahmen,marco
Rang,rango
Rat,consejo
Rate,cuota
Rationalisierung,racionalización
Rationalisierungsdruck,presión racionalizadora
Rationalisierungsprozeß,proceso de racionalización
Rationalismus,racionalismo
Rationalität,racionalidad
Rationalitätsoziologie,sociología de la racionalidad
Rationalitätsprinzip,principio de racionalidad
Raum,espacio
Raumsoziologie,sociología espacial
Realismus,realismo
Realität,realidad
Realitätsbezug,relación con la realidad
Rebellion,rebelión
Rechenschaftsauftrag,mandato de rendición de cuentas
Rechnung,cuenta
Recht,derecho
Rechtfertigung,justificación
Rechtschaffenheit,rectitud
Rechtsicherheit,seguridad jurídica
Rechtssoziologie,sociología jurídica
Rechtsstaatlichkeit,estado de derecho
Rechtsstaatsauftrag,mandato del estado de derecho
Rechtsstaatsprinzip,principio del estado de derecho
Rede,discurso
Referenz,referencia
Reflexion,reflexión
Reflexionsfähigkeit,capacidad de reflexión
Reform,reforma
Reformauftrag,mandato reformista
Reformbedürftigkeit,necesidad de reforma
Reformgeist,espíritu reformista
Reformsoziologie,sociología reformista
Regel,regla
regeln,reglas
regen,lluvia
Regenerationsauftrag,mandato regenerativo
Regierung,gobierno
Region,región
Regionalsoziologie,sociología regional
Registrierung,registro
Regression,regresión
Regulierung,regulación
Regulierungsauftrag,mandato regulatorio
Rehabilitationsauftrag,mandato rehabilitativo
Rehabilitationssoziologie,sociología de la rehabilitación
Reichtum,riqueza
Reifezuwachsbereitschaftskrisesoziologie,sociología de crisis de disposición al crecimiento madurativo
Reifungsbereitschaftskrisesoziologie,sociología de crisis de disposición a la maduración
Reihe,fila
Reintegrationsauftrag,mandato reintegrador
Reise,viaje
Reiselust,ganas de viajar
Rekord,récord
Relativismus,relativismo
Religion,religión
Religionsfreiheit,libertad religiosa
Religionssoziologie,sociología de la religión
Religionswechselbereitschaftskrisesoziologie,sociología de crisis de disposición al cambio religioso
Religiösität,religiosidad
Renaissance,renacimiento
Renditeauftrag,mandato de rentabilidad
Reparatur,reparación
Repression,represión
Repräsentation,representación
Repräsentationsgerechtigkeit,justicia de representación
Repräsentativität,representatividad
Republik,república
Reservierung,reserva
Resilience,resiliencia
Resilienzsoziologie,sociología de la resiliencia
Resonanz,resonancia
Resozialisationsauftrag,mandato resocializador
Respekt,respeto
Ressourcenknappheit,escasez de recursos
Ressourcenorientierung,orientación a recursos
Ressourcenperspektive,perspectiva de recursos
Ressourcenschonung,conservación de recursos
Rest,resto
Resultat,resultado
Rettung,rescate
Revitalisierungsauftrag,mandato revitalizador
Revolutionssoziologie,sociología revolucionaria
Rhetorik,retórica
Rhythmus,ritmo
Rhythmussoziologie,sociología del ritmo
richtlinien,directrices
Richtung,dirección
Ring,anillo
Risiko,riesgo
Risikobereitschaft,disposición al riesgo
Risikobereitschaftskrisesoziologie,sociología de crisis de disposición al riesgo
Risikoperspektive,perspectiva de riesgo
Risikorientierung,orientación al riesgo
Risikosoziologie,sociología del riesgo
Risikoverteilung,distribución de riesgos
Ritual,ritual
Ritualismus,ritualismo
Ritualsoziologie,sociología ritual
Robotersoziologie,sociología robótica
Robustheit,robustez
Rolle,papel
Rollendifferenzierung,diferenciación de roles
Rollenkonflikt,conflicto de roles
